CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,EVENTDESC,CDCEVENT,IGCYCRASH,WARNLAMP,NUMEVENTS,EVENT1TO2,FILEREC,MAXDVRESTIME,MAXDVLONG,MAXDVLONGTIME,MAXDVLAT,MAXDVLATTIME,CASEWGT,PSUSTRAT,VERSION
19756,25,125,1-25-2020-125-09,9,1,1,2,1st Prior Frontal/Rear Event,2,999997,1,97,9997.0000,7,9997.0000,-2.7370,9997.0000,997.0000,9997.0000,1025.3054924784,2,5
19757,25,126,1-25-2020-126-06,6,2,1,1,Event Record 1,1,8893,0,1,9997.0000,1,9997.0000,14.4900,108.0000,0.0000,98.0000,277.1369800194,2,5
19762,32,168,1-32-2020-168-02,2,2,1,1,Event 1,3,25440,0,0,9997.0000,1,600.0000,-41.8600,600.0000,22.5400,600.0000,33.7705155336673,7,5
19765,31,77,1-31-2020-077-04,4,1,1,1,Event Record 1,97,1711,0,1,9997.0000,1,9997.0000,-20.9300,160.0000,6.4400,108.0000,894.493296880547,6,5
19767,13,106,1-13-2020-106-03,3,1,1,1,First Record,99,441,0,1,9997.0000,1,162.5000,-13.0088,9997.0000,997.0000,9997.0000,1593.33025024398,7,5
19768,13,107,1-13-2020-107-03,3,3,1,2,1st Prior Event,2,999997,1,97,9997.0000,1,9997.0000,38.4790,9997.0000,997.0000,9997.0000,1593.33025045788,7,5
16184,73,3,1-73-2020-003-08,8,2,1,1,Event Record 1,95,11741,0,97,0.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,68.7164195358515,3,5
16295,16,9,1-16-2020-009-06,6,1,1,1,Event Record 1,1,23663,0,1,9997.0000,1,9997.0000,-8.0500,90.0000,-4.8300,66.0000,367.273493059865,5,5
16654,66,14,1-66-2020-014-01,1,2,1,1,Deployment,2,13052,0,97,1.3000,1,155.0000,-69.9062,155.0000,997.0000,9997.0000,140.201933035703,6,5
16654,66,14,1-66-2020-014-01,1,2,1,2,Non-Deployment,1,13052,0,97,9997.0000,1,22.5000,-0.2576,22.5000,997.0000,9997.0000,140.201933035703,6,5
16497,52,24,1-52-2020-024-03,3,1,1,1,First Record,1,10074,0,1,9997.0000,1,9997.0000,-16.6957,300.0000,-1.5295,300.0000,20.3677124003807,12,5
16654,66,14,1-66-2020-014-01,1,1,1,1,First Record,2,730,0,1,9997.0000,1,9997.0000,-96.1170,300.0000,997.0000,9997.0000,140.201933035703,6,5
16497,52,24,1-52-2020-024-03,3,2,1,1,Event Record 1,1,4716,0,1,9997.0000,1,155.0000,14.4900,155.0000,-1.6100,110.0000,20.3677124003807,12,5
16497,52,24,1-52-2020-024-03,3,2,1,2,Event Record 2,2,4716,0,2,0.5000,1,30.0000,-1.6100,30.0000,0.0000,27.5000,20.3677124003807,12,5
16366,23,4,1-23-2020-004-01,1,1,1,2,1st Prior Event,1,999997,0,97,9997.0000,1,9997.0000,-56.8330,9997.0000,997.0000,9997.0000,152.917838144131,5,5
16366,23,4,1-23-2020-004-01,1,1,1,3,2nd Prior Event,95,999997,0,97,9997.0000,1,9997.0000,-1.1270,9997.0000,997.0000,9997.0000,152.917838144131,5,5
16649,76,17,1-76-2020-017-02,2,1,1,1,Event Record 1,1,10386,0,1,9997.0000,1,297.5000,-0.9660,297.5000,1.9320,297.5000,15.9010773617784,3,5
16755,19,33,1-19-2020-033-04,4,2,1,1,Event Record 1,1,15553,0,1,9997.0000,1,9997.0000,-8.0500,182.0000,6.4400,56.0000,396.262395439368,9,5
16669,15,14,1-15-2020-014-03,3,2,1,1,Most Recent Event,1,15501,0,97,9997.0000,1,9997.0000,-13.8460,118.5000,997.0000,9997.0000,15.8671903219006,1,5
16669,15,14,1-15-2020-014-03,3,2,1,2,1st Prior Event,97,11181,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,15.8671903219006,1,5
16225,21,7,1-21-2020-007-05,5,3,1,1,First Record,2,14165,0,1,9997.0000,1,9997.0000,-64.0780,130.0000,997.0000,9997.0000,70.2602294420719,11,5
16505,54,2,1-54-2020-002-04,4,2,1,1,Event Record 1,1,7549,0,1,9997.0000,1,9997.0000,-4.8300,162.0000,9.6600,144.0000,249.658519216441,9,5
16200,26,9,1-26-2020-009-06,6,1,1,2,1st Prior Event,1,10749,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,380.626286464822,10,5
16200,26,9,1-26-2020-009-06,6,1,1,1,Most Recent Event,2,10749,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,380.626286464822,10,5
16717,59,3,1-59-2020-003-09,9,1,1,1,Deployment,97,999997,7,97,9997.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,1253.57178124837,6,5
16533,52,28,1-52-2020-028-10,10,1,1,1,Deployment,1,17932,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,371.217938971843,12,5
